_id,작성자,별점 점수,리뷰내용
658a9836c41002f5926ed0b1,평론가가 되고 싶은 꼬꼬마,3.0,"아니...\n라면 만들어 준다고 해놓고, 물만 끓이면 어떡해요...\n(그래도 완전한 라면이 나올때까지 기다릴께요...)"
658a9836c41002f5926ed0b2,라이너스,1.5,단순하고 심심한 이야기 위에 매력없는 캐릭터들을 과소비한다. 여전히 <300>에 머물러 있는 고속 촬영을 지켜보고 있자니 괴롭다.\n-\n잭형! 좋은 글 받아서 요란하게 연출해달라고 희망의 끝을 잡고서 응원했는데… 이제는 연출 마저 기대감이 없어졌어. 먼저 안드로메다로 떠나신 워쇼스키 자매와 함께 이제는 안녕히.
658a9836c41002f5926ed0b3,오세일,1.5,'잭 스나이더 향후 활동 간에 슬로우모션 영구 금지'
658a9836c41002f5926ed0b4,Kk,2.5,"전국 3대 짬뽕집에서 각각 한달씩 알바해보고, 호기롭게 짬뽕집을 창업한거 같다.\n\n근데 짬뽕은 배운 대로 안하고 지 맘대로 만드는.."
658a9836c41002f5926ed0b5,Cecilism,2.5,"듄이나 스타워즈같은걸 만들고 싶었지만 현실 가오갤과 드래곤 길들이기 하위호환이 나와버린 잭 스나이더.\n감당하기 벅찬 세계관과 중구난방 콘셉트 어질어질한 그래픽, 요약따윈 개나 줘버려 불친절 마인드, 전체적으로 조악한 캐릭터, 고급진 느낌이라곤 없는 마구잡이 집대성.\n어쩜 잭 스나이더의 감이 쇠퇴한게 아니라 그동안 너무 과대평가돼온게 아니었을까 싶기까지 했다. 300이 후루꾸이지 않았나 싶은."
658a9836c41002f5926ed0b6,CineVet,보고싶어요,갓동님 믿읍니다.\n\n잭멘.
658a9836c41002f5926ed0b7,OO,3.0,영화와 게임의 만남같다 잭스나이더는 잘하는걸 했고\n\n씨지나 미술이 좋은편이다 잭스나이더 스타일 좋아하는 사람들에게는 괜찮은편
658a9836c41002f5926ed0b8,ChrisCHUN,3.0,외계 + (한국)인 1부\n\n- 이쯤되면 존 존스나 정찬성에게도 싸우러 가자고 올 듯\n- 2023 최X의 시나리오\n- 장대 들고 멀리 뛰기 샷은 포기를 못하네\n- 70년 전 만들어진 7인의 사무라이(1954)를 한번 더 보시길
658a9836c41002f5926ed0b9,노진경,2.0,"흠... 많이 아쉬운데, 파트 원이니까 후속편을 기다려봐야하나?"
658a9836c41002f5926ed0ba,두 현,2.0,여러 영화를 섞어 놓은 듯한 전개와 중요한 순간 자꾸 김빠지게 만드는 슬로우 모션과 액션이 집중을 흐린다
658a9836c41002f5926ed0bb,현식초이,2.0,"언젠가부터 잭스나이더 영화들에는 조바심이 잔뜩 느껴진다. 방대한 스토리, 많은 캐릭터를 한 영화에 아주 웅장하고 멋있게 끼워 넣을려고 부단히 노력한다. 배트맨 대 슈퍼맨 때도 그랬고, 조스 웨던이 더 망쳐놔서 선비처럼 보였던 거지 저스티스리그도 이런 한계가 분명히 드러났다.\n그나마 DC 영화 찍을 때는 나았던 것이, 사람들이 대부분 어렸을 때부터 서사를 어느정도 알고 있는 배트맨, 슈퍼맨 같은 엄청난 인지도의 캐릭터를 바탕으로 했었기 때문이다. 하지만 이 영화 같이 특별한 능력도 없고, 세계관에 대한 인지도가 낮은 상황이면 서사와 캐릭터의 빌드업에 집중을 했어야 한다. 5명씩이나 되는 팀을 모으는 과정에 영화 2/3 가량을 투자해놓고, 정작 캐릭터 서사가 다뤄지는 인물은 주인공 아르테아 뿐이다. 이래 놓고 액션씬에서 슬로우 모션 남발해봤자 관객들은 설득되지 않고 피로감만 느낀다.\n\n스나이더씨, 반성하세요...제발ㅠㅠ"
658a9836c41002f5926ed0bc,박원준,1.5,액션 시퀸스조차 구식 작법
658a9836c41002f5926ed0bd,찡빈,2.0,진짜 잭 스나이더 맞아요? 동명이인아니죠?
